R2_EP_DR,44.33,18.46,0.00,10K,ERA-1AEB3401C_0201
R2_USB,24.87,30.76,0.00,5K1,ERA-1AEB3401C_0201
R3,4.18,10.43,0.00,0,ERA-1AEB3401C_0201
R4,7.27,8.28,90.00,0,ERA-1AEB3401C_0201
R5,13.97,8.49,180.00,10k,ERA-1AEB3401C_0201
R7,35.93,8.64,180.00,10k,ERA-1AEB3401C_0201
R8,24.89,8.64,180.00,10k,ERA-1AEB3401C_0201
R9,15.08,30.48,0.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,29.94,19.19,270.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,42.10,9.04,180.00,10K,ERA-1AEB3401C_0201
SJ1,40.71,11.66,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,37.41,6.81,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,26.41,6.81,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,15.41,6.81,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,12.78,34.21,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,14.62,11.25,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,42.02,19.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,23.45,12.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,48.13,20.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,48.13,26.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,43.23,35.35,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,11.50,12.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,6.54,32.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,38.64,20.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,35.46,21.37,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,33.53,18.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,39.23,24.26,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,5.59,7.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,27.11,23.04,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,43.32,21.82,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,21.35,28.90,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,20.61,22.97,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
